Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
0,0,"['RANDOM_01', 'RANDOM_02', 'RANDOM_03', 'RANDOM_04']",SYSTEM,START_EXPERIMENT,,,,,,,,,,
1,0,,SYSTEM,NEW_MATCH,,,,,,,"{'RANDOM_01': '', 'RANDOM_02': '', 'RANDOM_03': '', 'RANDOM_04': ''}",,"{'RANDOM_01': -1, 'RANDOM_02': -1, 'RANDOM_03': -1, 'RANDOM_04': -1}",
1,0,,SYSTEM,DEAL_CARDS,,,"[[3, 3, 5, 7, 7, 8, 8, 8, 9, 9, 9, 9, 0, 0, 0, 0, 12], [0, 4, 5, 5, 5, 6, 6, 7, 7, 7, 8, 9, 10, 10, 11, 11, 11], [2, 4, 5, 0, 0, 7, 8, 8, 8, 8, 9, 9, 10, 10, 11, 11, 11], [2, 3, 4, 4, 6, 6, 7, 9, 9, 0, 0, 0, 0, 10, 10, 11, 12]]",,,,,,,
1,1,,RANDOM_01,DISCARD,C11;Q4;J0,0.0,"[0, 0, 0, 0, 3, 3, 5, 7, 7, 8, 8, 8, 9, 9, 9, 9, 12]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 11, 11, 11, 0, 0, 0, 0, 0, 0, 0]","['C11;Q1;J0', 'C11;Q1;J1', 'C11;Q2;J0', 'C11;Q2;J1', 'C11;Q3;J0', 'C11;Q3;J1', 'C11;Q4;J0', 'C11;Q4;J1', 'pass']",,,,
1,1,,RANDOM_02,DISCARD,pass,False,"[1, 4, 5, 5, 5, 6, 6, 7, 7, 7, 8, 9, 10, 10, 11, 11, 11]","[11, 11, 11, 11, 0, 0, 0, 0, 0, 0, 0]","[11, 11, 11, 11, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,1,,RANDOM_03,DISCARD,pass,False,"[2, 4, 5, 6, 6, 7, 8, 8, 8, 8, 9, 9, 10, 10, 11, 11, 11]","[11, 11, 11, 11, 0, 0, 0, 0, 0, 0, 0]","[11, 11, 11, 11, 0, 0, 0, 0, 0, 0, 0]","['C8;Q4;J0', 'pass']",,,,
1,1,,RANDOM_04,DISCARD,C10;Q4;J0,False,"[0, 0, 0, 0, 2, 3, 4, 4, 6, 6, 7, 9, 9, 10, 10, 11, 12]","[11, 11, 11, 11, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0]","['C10;Q3;J1', 'C10;Q4;J0', 'C10;Q4;J1', 'C10;Q5;J0', 'C10;Q5;J1', 'C10;Q6;J0', 'C10;Q6;J1', 'pass']",,,,
1,1,,RANDOM_01,DISCARD,C9;Q4;J0,False,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 5, 7, 7, 8, 8, 8, 12]","[10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0]","[9, 9, 9, 9, 0, 0, 0, 0, 0, 0, 0]","['C8;Q3;J1', 'C9;Q3;J1', 'C9;Q4;J0', 'C9;Q4;J1', 'pass']",,,,
1,1,,RANDOM_04,DISCARD,pass,False,"[0, 0, 0, 0, 2, 3, 4, 4, 6, 6, 7, 9, 9, 10, 10, 11, 12]","[9, 9, 9, 9, 0, 0, 0, 0, 0, 0, 0]","[9, 9, 9, 9, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,1,,RANDOM_01,DECLARE_PIZZA,,,,,,,,,,
1,2,,RANDOM_01,DISCARD,C3;Q2;J1,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 7, 8, 8, 8]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 12, 0, 0, 0, 0, 0, 0, 0, 0]","['C3;Q1;J0', 'C3;Q1;J1', 'C3;Q2;J0', 'C3;Q2;J1', 'C5;Q1;J0', 'C5;Q1;J1', 'C7;Q1;J0', 'C7;Q1;J1', 'C7;Q2;J0', 'C7;Q2;J1', 'C8;Q1;J0', 'C8;Q1;J1', 'C8;Q2;J0', 'C8;Q2;J1', 'C8;Q3;J0', 'C8;Q3;J1', 'C0;Q0;J1', 'pass']",,,,
1,2,,RANDOM_02,DISCARD,pass,False,"[1, 4, 5, 5, 5, 6, 6, 7, 7, 7, 8, 9, 10, 10, 11, 11, 11]","[3, 3, 12, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 12, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,2,,RANDOM_03,DISCARD,pass,False,"[2, 4, 5, 6, 6, 7, 8, 8, 8, 8, 9, 9, 10, 10, 11, 11, 11]","[3, 3, 12, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 12, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,2,,RANDOM_04,DISCARD,pass,False,"[0, 0, 0, 0, 2, 3, 4, 4, 6, 6, 7, 9, 9, 10, 10, 11, 12]","[3, 3, 12, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 12, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,2,,RANDOM_01,DECLARE_PIZZA,,,,,,,,,,
1,3,,RANDOM_01,DISCARD,C5;Q1;J0,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 8, 8, 8]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C5;Q1;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'pass']",,,,
1,3,,RANDOM_02,DISCARD,C1;Q1;J0,False,"[0, 4, 5, 5, 5, 6, 6, 7, 7, 7, 8, 9, 10, 10, 11, 11, 11]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C1;Q1;J0', 'C4;Q1;J0', 'pass']",,,,
1,3,,RANDOM_03,DISCARD,pass,False,"[2, 4, 5, 6, 6, 7, 8, 8, 8, 8, 9, 9, 10, 10, 11, 11, 11]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,3,,RANDOM_04,DISCARD,pass,False,"[0, 0, 0, 0, 2, 3, 4, 4, 6, 6, 7, 9, 9, 10, 10, 11, 12]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,3,,RANDOM_01,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 8, 8, 8]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,3,,RANDOM_02,DECLARE_PIZZA,,,,,,,,,,
1,4,,RANDOM_02,DISCARD,C5;Q1;J0,False,"[0, 0, 4, 5, 5, 6, 6, 7, 7, 7, 8, 9, 10, 10, 11, 11, 11]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C4;Q1;J0', 'C5;Q1;J0', 'C5;Q2;J0', 'C5;Q3;J0', 'C6;Q1;J0', 'C6;Q2;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C7;Q3;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'pass']",,,,
1,4,,RANDOM_03,DISCARD,pass,False,"[2, 4, 5, 6, 6, 7, 8, 8, 8, 8, 9, 9, 10, 10, 11, 11, 11]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C2;Q1;J0', 'C4;Q1;J0', 'pass']",,,,
1,4,,RANDOM_04,DISCARD,C3;Q1;J0,False,"[0, 0, 0, 0, 0, 2, 4, 4, 6, 6, 7, 9, 9, 10, 10, 11, 12]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C2;Q1;J0', 'C2;Q1;J1', 'C3;Q1;J0', 'C3;Q1;J1', 'C4;Q1;J0', 'C4;Q1;J1', 'C4;Q2;J0', 'C4;Q2;J1', 'pass']",,,,
1,4,,RANDOM_01,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 8, 8, 8]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,4,,RANDOM_02,DISCARD,pass,False,"[0, 0, 4, 5, 5, 6, 6, 7, 7, 7, 8, 9, 10, 10, 11, 11, 11]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,4,,RANDOM_04,DECLARE_PIZZA,,,,,,,,,,
1,5,,RANDOM_04,DISCARD,C9;Q1;J0,False,"[0, 0, 0, 0, 0, 0, 2, 4, 4, 6, 6, 7, 9, 10, 10, 11, 12]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C2;Q1;J0', 'C2;Q1;J1', 'C4;Q1;J0', 'C4;Q1;J1', 'C4;Q2;J0', 'C4;Q2;J1', 'C6;Q1;J0', 'C6;Q1;J1', 'C6;Q2;J0', 'C6;Q2;J1', 'C7;Q1;J0', 'C7;Q1;J1', 'C9;Q1;J0', 'C9;Q1;J1', 'C9;Q2;J0', 'C9;Q2;J1', 'C10;Q1;J0', 'C10;Q1;J1', 'C10;Q2;J0', 'C10;Q2;J1', 'C11;Q1;J0', 'C11;Q1;J1', 'C0;Q0;J1', 'pass']",,,,
1,5,,RANDOM_01,DISCARD,C7;Q2;J0,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 8]","[9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C7;Q1;J0', 'C7;Q2;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'pass']",,,,
1,5,,RANDOM_02,DISCARD,pass,False,"[0, 0, 4, 5, 5, 6, 6, 7, 7, 7, 8, 9, 10, 10, 11, 11, 11]","[7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C5;Q2;J0', 'C6;Q2;J0', 'pass']",,,,
1,5,,RANDOM_03,DISCARD,C6;Q2;J0,False,"[0, 0, 2, 4, 5, 7, 8, 8, 8, 8, 9, 9, 10, 10, 11, 11, 11]","[7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C6;Q2;J0', 'pass']",,,,
